"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",92854255,92854973,719,"*","Distal Intergenic",1,92711955,92764566,52612,2,"11146","uc009wdg.3",-89689,"ENSG00000174842","GLMN","glomulin, FKBP associated protein"
"chr1",92927616,92928351,736,"*","Distal Intergenic",1,92940318,92949356,9039,2,"2672","uc001dou.4",21005,"ENSG00000162676","GFI1","growth factor independent 1 transcriptional repressor"
"chr1",94296690,94297332,643,"*","Intron (uc001dqb.4/8412, intron 2 of 13)",1,94312388,94312467,80,1,"100126348","uc021oqa.1",-15056,"ENSG00000211575","MIR760","microRNA 760"
"chr1",94772771,94773893,1123,"*","Distal Intergenic",1,94615403,94740624,125222,2,"9411","uc009wdq.1",-32147,"ENSG00000137962","ARHGAP29","Rho GTPase activating protein 29"
"chr1",100364743,100365244,502,"*","Intron (uc001dsi.1/178, intron 25 of 33)",1,100326766,100389579,62814,1,"178","uc001dsn.1",37977,"ENSG00000162688","AGL","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
"chr1",102853403,102854432,1030,"*","Distal Intergenic",1,102268127,102462790,194664,2,"118427","uc001duj.2",-390613,"ENSG00000118733","OLFM3","olfactomedin 3"
"chr1",109863514,109864861,1348,"*","Intron (uc010ovi.2/6272, intron 15 of 19)",1,109834990,109849663,14674,2,"343263","uc001dxl.3",-13851,"ENSG00000221986","MYBPHL","myosin binding protein H like"
"chr1",112903891,112904475,585,"*","Distal Intergenic",1,112938800,113003786,64987,1,"55917","uc001ebx.3",-34325,"ENSG00000143079","CTTNBP2NL","CTTNBP2 N-terminal like"
"chr1",113855498,113856181,684,"*","Distal Intergenic",1,113933475,114224924,291450,1,"260425","uc001edh.3",-77294,"ENSG00000081026","MAGI3","membrane associated guanylate kinase, WW and PDZ domain containing 3"
"chr1",119613599,119614398,800,"*","Intron (uc010oxf.2/10352, intron 2 of 5)",1,119573839,119682973,109135,2,"10352","uc010oxf.2",68575,"ENSG00000116874","WARS2","tryptophanyl tRNA synthetase 2, mitochondrial"
"chr1",150178355,150179078,724,"*","Distal Intergenic",1,150190717,150199127,8411,2,"81611","uc010pbt.2",20049,"ENSG00000143401","ANP32E","acidic nuclear phosphoprotein 32 family member E"
"chr1",155219395,155220631,1237,"*","Promoter (1-2kb)",1,155216996,155221696,4701,2,"10712","uc009wql.3",1065,"ENSG00000160767","ENTREP3","endosomal transmembrane epsin interactor 3"
"chr1",155466266,155467027,762,"*","Intron (uc001fkt.3/55870, intron 2 of 27)",1,155402971,155404053,1083,1,"645682","uc010pgd.2",63295,"ENSG00000237872","POU5F1P4","POU class 5 homeobox 1 pseudogene 4"
"chr1",158924238,158925210,973,"*","Intron (uc001ftb.3/149628, intron 7 of 8)",1,158901337,158946849,45513,1,"149628","uc001fte.3",22901,"ENSG00000163564","PYHIN1","pyrin and HIN domain family member 1"
"chr1",159897774,159898920,1147,"*","Promoter (2-3kb)",1,159889455,159895332,5878,2,"8407","uc010piy.2",-2442,"ENSG00000158710","TAGLN2","transgelin 2"
"chr1",161359188,161359980,793,"*","Distal Intergenic",1,161334521,161337673,3153,2,"257177","uc001gal.4",-21515,"ENSG00000188931","CFAP126","cilia and flagella associated protein 126"
"chr1",168576154,168576775,622,"*","Distal Intergenic",1,168545711,168551315,5605,1,"6375","uc001gfo.2",30443,"ENSG00000143184","XCL1","X-C motif chemokine ligand 1"
"chr1",174067860,174068581,722,"*","Distal Intergenic",1,174128552,174363283,234732,1,"9910","uc009wwq.2",-59971,"ENSG00000152061","RABGAP1L","RAB GTPase activating protein 1 like"
"chr1",176183584,176184222,639,"*","Distal Intergenic",1,175913967,176176370,262404,2,"64326","uc001gkw.1",-7214,"ENSG00000143207","COP1","COP1 E3 ubiquitin ligase"
"chr1",178275070,178276016,947,"*","Intron (uc009wxb.2/9462, intron 3 of 4)",1,178310606,178448648,138043,1,"9462","uc001glr.3",-34590,"ENSG00000075391","RASAL2","RAS protein activator like 2"
"chr1",182170711,182171557,847,"*","Distal Intergenic",1,182023705,182030847,7143,2,"127665","uc001goz.3",-139864,"ENSG00000179930","ZNF648","zinc finger protein 648"
"chr1",183598410,183598974,565,"*","Intron (uc001gql.4/10092, intron 3 of 3)",1,183595328,183605076,9749,2,"10092","uc001gql.4",6102,"ENSG00000162704","ARPC5","actin related protein 2/3 complex subunit 5"
"chr1",184929605,184931196,1592,"*","Intron (uc001gra.4/116496, intron 1 of 13)",1,184760159,184943718,183560,2,"116496","uc001gra.4",12522,"ENSG00000135842","NIBAN1","niban apoptosis regulator 1"
"chr1",187223466,187224015,550,"*","Distal Intergenic",1,186798032,186958113,160082,1,"5321","uc010pos.2",425434,"ENSG00000116711","PLA2G4A","phospholipase A2 group IVA"
"chr1",192877313,192878023,711,"*","Distal Intergenic",1,192778169,192781407,3239,1,"5997","uc001gsl.3",99144,"ENSG00000116741","RGS2","regulator of G protein signaling 2"
"chr1",198639636,198640285,650,"*","Intron (uc031prk.1/5788, intron 2 of 3)",1,198608418,198672501,64084,1,"5788","uc001guw.1",31218,"ENSG00000081237","PTPRC","protein tyrosine phosphatase receptor type C"
"chr1",201713276,201714004,729,"*","Intron (uc001gwu.3/89796, intron 3 of 28)",1,201708963,201796102,87140,1,"89796","uc001gwx.3",4313,"ENSG00000134369","NAV1","neuron navigator 1"
"chr1",203199954,203200741,788,"*","Promoter (1-2kb)",1,203185207,203198860,13654,2,"1118","uc009xan.1",-1094,"ENSG00000133063","CHIT1","chitinase 1"
"chr1",206380010,206380627,618,"*","Distal Intergenic",1,206317459,206332104,14646,1,"1510","uc010prs.2",62551,"ENSG00000196188","CTSE","cathepsin E"
"chr1",206744547,206745305,759,"*","Intron (uc001hec.1/83593, intron 2 of 3)",1,206756601,206762604,6004,1,"83593","uc001heg.1",-11296,"ENSG00000266094","RASSF5","Ras association domain family member 5"
"chr1",207248659,207249430,772,"*","3' UTR",1,207238349,207254368,16020,1,"5208","uc010psd.2",10310,"ENSG00000123836","PFKFB2","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"
"chr1",207857634,207858225,592,"*","Intron (uc001hfz.2/1379, intron 4 of 11)",1,207850734,207898053,47320,1,"1379","uc001hgb.1",6900,"ENSG00000197721","CR1L","complement C3b/C4b receptor 1 like"
"chr1",207866588,207867290,703,"*","Intron (uc001hfz.2/1379, intron 5 of 11)",1,207850734,207898053,47320,1,"1379","uc001hgb.1",15854,"ENSG00000197721","CR1L","complement C3b/C4b receptor 1 like"
"chr1",208538497,208539306,810,"*","Distal Intergenic",1,208195588,208417665,222078,2,"5362","uc001hgz.3",-120832,"ENSG00000076356","PLXNA2","plexin A2"
"chr1",211526600,211527101,502,"*","Exon (uc001hih.3/7188, exon 2 of 11)",1,211519706,211548286,28581,1,"7188","uc001hij.3",6894,"ENSG00000082512","TRAF5","TNF receptor associated factor 5"
"chr1",212614434,212614935,502,"*","Intron (uc001hjd.3/29937, intron 1 of 3)",1,212606229,212619721,13493,1,"29937","uc010ptf.2",8205,"ENSG00000117691","NENF","neudesin neurotrophic factor"
"chr1",212759685,212760690,1006,"*","Intron (uc001hjf.3/467, intron 1 of 3)",1,212738676,212794119,55444,1,"467","uc001hjf.3",21009,"ENSG00000162772","ATF3","activating transcription factor 3"
"chr1",213070225,213070958,734,"*","3' UTR",1,213031597,213072705,41109,1,"28982","uc001hjt.3",38628,"ENSG00000162769","FLVCR1","FLVCR choline and heme transporter 1"
"chr1",214550857,214552047,1191,"*","Exon (uc021piy.1/5784, exon 12 of 17)",1,214522039,214638300,116262,2,"5784","uc021piy.1",86253,"ENSG00000152104","PTPN14","protein tyrosine phosphatase non-receptor type 14"
"chr1",220330102,220330816,715,"*","Exon (uc001hmf.2/25782, exon 31 of 35)",1,220291499,220291583,85,2,"406969","uc010puj.2",-38519,"ENSG00000207624","MIR194-1","microRNA 194-1"
"chr1",222898034,222898535,502,"*","Intron (uc001hnq.1/148362, intron 6 of 12)",1,222886718,222906106,19389,1,"148362","uc010puv.1",11316,"ENSG00000162819","BROX","BRO1 domain and CAAX motif containing"
"chr1",226730059,226730560,502,"*","5' UTR",1,226736501,226796915,60415,1,"375057","uc021pjw.1",-5941,"ENSG00000203685","STUM","stum, mechanosensory transduction mediator homolog"
"chr1",229272663,229273211,549,"*","Distal Intergenic",1,229406809,229441640,34832,1,"5867","uc001hth.4",-133598,"ENSG00000168118","RAB4A","RAB4A, member RAS oncogene family"
"chr1",234244397,234245005,609,"*","Intron (uc001hvy.1/148641, intron 2 of 7)",1,234350017,234460262,110246,1,"148641","uc001hwa.1",-105012,"ENSG00000183780","SLC35F3","solute carrier family 35 member F3"
"chr1",235006213,235006850,638,"*","Distal Intergenic",1,234859789,234867390,7602,1,"100506810","uc001hwj.2",146424,"ENSG00000227630","LINC01132","long intergenic non-protein coding RNA 1132"
"chr1",236530813,236531484,672,"*","Distal Intergenic",1,236557680,236648008,90329,1,"128178","uc001hxu.1",-26196,"ENSG00000186197","EDARADD","EDAR associated via death domain"
"chr1",236869924,236871332,1409,"*","Intron (uc001hyf.2/88, intron 1 of 20)",1,236849770,236927558,77789,1,"88","uc009xgi.1",20154,"ENSG00000077522","ACTN2","actinin alpha 2"
"chr1",243730385,243730886,502,"*","Intron (uc001hzz.1/10000, intron 8 of 13)",1,243509478,243509557,80,1,"100616343","uc021plt.1",220907,"ENSG00000265201","MIR4677","microRNA 4677"
"chr1",245480443,245481243,801,"*","Intron (uc010pyq.1/55083, intron 2 of 9)",1,245516980,245535019,18040,1,"55083","uc010pyr.2",-35737,"ENSG00000162849","KIF26B","kinesin family member 26B"
"chr1",246705164,246705858,695,"*","Intron (uc001ibn.3/64216, intron 7 of 7)",1,246679341,246687589,8249,2,"255654","uc021plx.1",-17575,"ENSG00000242042","LINC01743","long intergenic non-protein coding RNA 1743"
"chr1",247455889,247456603,715,"*","Distal Intergenic",1,247465778,247473758,7981,2,"84838","uc001icq.1",17155,"ENSG00000162714","ZNF496","zinc finger protein 496"
"chr2",8312816,8313481,666,"*","Intron (uc010eww.2/339789, intron 7 of 8)",2,8147901,8468549,320649,2,"339789","uc010eww.2",155068,"ENSG00000236790","LINC00299","long intergenic non-protein coding RNA 299"
"chr2",8821107,8821825,719,"*","Promoter (<=1kb)",2,8822113,8824583,2471,1,"3398","uc002qza.3",-288,"ENSG00000115738","ID2","inhibitor of DNA binding 2"
"chr2",9991598,9992292,695,"*","5' UTR",2,9983571,10074545,90975,1,"9014","uc010yja.2",8027,"ENSG00000115750","TAF1B","TATA-box binding protein associated factor, RNA polymerase I subunit B"
"chr2",15726255,15726756,502,"*","Distal Intergenic",2,15731745,15768963,37219,1,"1653","uc010yjq.2",-4989,"ENSG00000079785","DDX1","DEAD-box helicase 1"
"chr2",24343083,24343939,857,"*","Promoter (2-3kb)",2,24338244,24346151,7908,2,"375189","uc002rfa.1",2212,"ENSG00000176732","PFN4","profilin family member 4"
"chr2",30439725,30440393,669,"*","Distal Intergenic",2,30454397,30482899,28503,1,"81606","uc002rne.2",-14004,"ENSG00000213626","LBH","LBH regulator of WNT signaling pathway"
"chr2",36698833,36699603,771,"*","Intron (uc002rpd.3/51232, intron 5 of 16)",2,36583370,36778278,194909,1,"51232","uc002rpd.3",115463,"ENSG00000150938","CRIM1","cysteine rich transmembrane BMP regulator 1"
"chr2",37713089,37713870,782,"*","Distal Intergenic",2,37571753,37600465,28713,1,"25797","uc002rqg.3",141336,"ENSG00000115828","QPCT","glutaminyl-peptide cyclotransferase"
"chr2",39127924,39128545,622,"*","Distal Intergenic",2,39146504,39202590,56087,1,"100271715","uc021vgd.1",-17959,"ENSG00000214694","ARHGEF33","Rho guanine nucleotide exchange factor 33"
"chr2",40384380,40385444,1065,"*","Intron (uc002rrw.3/100128590, intron 3 of 4)",2,40144774,40482349,337576,1,"100128590","uc002rrw.3",239606,"ENSG00000227028","SLC8A1-AS1","SLC8A1 antisense RNA 1"
"chr2",41870964,41871599,636,"*","Distal Intergenic",2,42104695,42121186,16492,1,"388942","uc002rse.3",-233096,"ENSG00000214691","LINC01913","long intergenic non-protein coding RNA 1913"
"chr2",43456110,43456739,630,"*","Promoter (1-2kb)",2,43454350,43455994,1645,1,"100129726","uc010ynx.1",1760,"ENSG00000279873","LINC01126","long intergenic non-protein coding RNA 1126"
"chr2",49002047,49002691,645,"*","Intron (uc021vhf.1/286749, intron 10 of 10)",2,48921363,48982880,61518,2,"3973","uc002rwv.2",-19167,"ENSG00000138039","LHCGR","luteinizing hormone/choriogonadotropin receptor"
"chr2",53424477,53425390,914,"*","Distal Intergenic",2,53897117,53927672,30556,2,"51130","uc002rxf.2",502282,"ENSG00000115239","ASB3","ankyrin repeat and SOCS box containing 3"
"chr2",54637965,54638646,682,"*","Distal Intergenic",2,54683454,54898583,215130,1,"6711","uc002rxu.3",-44808,"ENSG00000115306","SPTBN1","spectrin beta, non-erythrocytic 1"
"chr2",57908461,57909385,925,"*","Distal Intergenic",2,58134786,58387055,252270,1,"7444","uc002rzo.2",-225401,"ENSG00000028116","VRK2","VRK serine/threonine kinase 2"
"chr2",58098345,58099240,896,"*","Distal Intergenic",2,58134786,58387055,252270,1,"7444","uc002rzo.2",-35546,"ENSG00000028116","VRK2","VRK serine/threonine kinase 2"
"chr2",64659129,64659630,502,"*","Distal Intergenic",2,64681327,64688517,7191,1,"29094","uc002scy.4",-21697,"ENSG00000119862","LGALSL","galectin like"
"chr2",65727295,65728323,1029,"*","Intron (uc010fcy.1/uc010fcy.1, intron 4 of 9)",2,65559121,65659656,100536,2,"200734","uc010fcx.1",-67639,"ENSG00000198369","SPRED2","sprouty related EVH1 domain containing 2"
"chr2",68230414,68231028,615,"*","Distal Intergenic",2,68269332,68280269,10938,2,"10438","uc002sea.4",49241,"ENSG00000197223","C1D","C1D nuclear receptor corepressor"
"chr2",69083265,69083926,662,"*","Distal Intergenic",2,69092613,69098649,6037,2,"27302","uc002sez.1",14723,"ENSG00000163217","BMP10","bone morphogenetic protein 10"
"chr2",71477070,71477731,662,"*","Distal Intergenic",2,71409868,71454233,44366,2,"400961","uc002shu.2",-22837,"ENSG00000124374","PAIP2B","poly(A) binding protein interacting protein 2B"
"chr2",74513911,74514869,959,"*","Intron (uc002skl.3/57835, intron 12 of 38)",2,74448561,74542152,93592,2,"57835","uc002sko.1",27283,"ENSG00000188687","SLC4A5","solute carrier family 4 member 5"
"chr2",83517783,83518527,745,"*","Distal Intergenic",2,83083927,83084893,967,1,"1720","uc021vjv.2",433856,NA,"DHFRP3","dihydrofolate reductase pseudogene 3"
"chr2",85701385,85701995,611,"*","Distal Intergenic",2,85661918,85664152,2235,1,"284948","uc002spq.3",39467,"ENSG00000152292","SH2D6","SH2 domain containing 6"
"chr2",88036039,88037092,1054,"*","Intron (uc002srs.4/64795, intron 8 of 10)",2,88047606,88058994,11389,1,"5342","uc002ssl.3",-10514,"ENSG00000125551","PLGLB2","plasminogen like B2"
"chr2",90382363,90382892,530,"*","Intron (uc031rom.1/uc031rom.1, intron 40 of 41)",2,89111884,89111968,85,1,"100616399","uc021vks.1",1270479,"ENSG00000265510","MIR4436A","microRNA 4436a"
"chr2",97721006,97721696,691,"*","Distal Intergenic",2,97749323,97760582,11260,2,"151313","uc002sxm.3",38886,"ENSG00000144199","FAHD2B","fumarylacetoacetate hydrolase domain containing 2B"
"chr2",97948783,97949603,821,"*","Promoter (<=1kb)",2,97948229,97957632,9404,1,"100506123","uc021vll.1",554,NA,"APPAT","atherosclerotic plaque pathogenesis associated transcript"
"chr2",98438585,98439345,761,"*","Intron (uc002syh.4/23505, intron 11 of 40)",2,98372801,98377660,4860,2,"23505","uc002syg.3",-60925,"ENSG00000075568","TMEM131","transmembrane protein 131"
"chr2",99514749,99515468,720,"*","Intron (uc002szf.1/343990, intron 1 of 9)",2,99410309,99552684,142376,2,"343990","uc002szf.1",37216,"ENSG00000196872","CRACDL","CRACD like"
"chr2",101112497,101113243,747,"*","Distal Intergenic",2,101086944,101099742,12799,1,"129521","uc002tan.1",25553,"ENSG00000204640","NMS","neuromedin S"
"chr2",102081576,102082139,564,"*","Intron (uc002tbb.1/731220, intron 2 of 13)",2,102013823,102091165,77343,2,"731220","uc002tbb.1",9026,"ENSG00000196460","RFX8","regulatory factor X8"
"chr2",109138530,109139031,502,"*","Intron (uc002tee.4/uc002tee.4, intron 1 of 2)",2,109150811,109303702,152892,1,"3987","uc002tel.3",-11780,"ENSG00000169756","LIMS1","LIM zinc finger domain containing 1"
"chr2",111667448,111668037,590,"*","Intron (uc010yxk.1/55289, intron 11 of 17)",2,111556591,111851921,295331,1,"55289","uc021vmn.1",110857,"ENSG00000153093","ACOXL","acyl-CoA oxidase like"
"chr2",112636432,112637069,638,"*","Exon (uc002thi.3/64682, exon 3 of 48)",2,112525214,112641741,116528,2,"64682","uc002thi.3",4672,"ENSG00000153107","ANAPC1","anaphase promoting complex subunit 1"
"chr2",127233578,127234286,709,"*","Distal Intergenic",2,127413511,127454251,40741,1,"2995","uc002tnq.4",-179225,"ENSG00000136732","GYPC","glycophorin C (Gerbich blood group)"
"chr2",127455502,127456566,1065,"*","Distal Intergenic",2,127413511,127454251,40741,1,"2995","uc010flv.4",41991,"ENSG00000136732","GYPC","glycophorin C (Gerbich blood group)"
"chr2",127911423,127912170,748,"*","Distal Intergenic",2,127805599,127864903,59305,2,"274","uc010yzg.2",-46520,"ENSG00000136717","BIN1","bridging integrator 1"
"chr2",128596203,128596956,754,"*","Distal Intergenic",2,128603840,128615729,11890,2,"5433","uc002tpj.3",18773,"ENSG00000144231","POLR2D","RNA polymerase II subunit D"
"chr2",131665666,131666227,562,"*","Intron (uc002try.1/uc002try.1, intron 1 of 1)",2,131672786,131704803,32018,1,"50649","uc002trz.1",-6559,"ENSG00000136002","ARHGEF4","Rho guanine nucleotide exchange factor 4"
"chr2",134079186,134079836,651,"*","Intron (uc002ttp.3/344148, intron 3 of 19)",2,133682490,134179361,496872,2,"344148","uc002tts.1",99525,"ENSG00000176771","NCKAP5","NCK associated protein 5"
"chr2",134320750,134321518,769,"*","Intron (uc002ttp.3/344148, intron 1 of 19)",2,133429372,134326031,896660,2,"344148","uc002ttp.3",4513,"ENSG00000176771","NCKAP5","NCK associated protein 5"
"chr2",134621862,134622444,583,"*","Distal Intergenic",2,134884696,134884763,68,1,"100500878","uc021vpy.1",-262252,"ENSG00000263813","MIR3679","microRNA 3679"
"chr2",143150150,143150848,699,"*","Distal Intergenic",2,141607671,142889270,1281600,2,"53353","uc010fnl.1",-260880,"ENSG00000168702","LRP1B","LDL receptor related protein 1B"
"chr2",143807504,143808207,704,"*","Distal Intergenic",2,143886899,144194926,308028,1,"55843","uc010zbl.1",-78692,"ENSG00000075884","ARHGAP15","Rho GTPase activating protein 15"
"chr2",144474845,144475585,741,"*","Intron (uc002tvm.4/55843, intron 13 of 13)",2,144193163,144525921,332759,1,"55843","uc002tvn.3",281682,"ENSG00000075884","ARHGAP15","Rho GTPase activating protein 15"
"chr2",144489826,144490547,722,"*","Intron (uc002tvm.4/55843, intron 13 of 13)",2,144193163,144525921,332759,1,"55843","uc002tvn.3",296663,"ENSG00000075884","ARHGAP15","Rho GTPase activating protein 15"
